Site_name,Site_ID,nlat,elon
Elora,CA_ER1,43.6405,-80.4123
BC-Mountain pine,CA_LP1,55.1119,-122.8414
CAF-LTAR Cook East,US_CF1,46.7815,-117.0821
Eden Landing Ecological Reserve,US_EDN,37.6156,-122.114
North Inlet Crab Haul Creek,US_HB1,33.3455,-79.1957
Mountainair Pinyon-Juniper Woodland,US_Mpj,34.4385,-106.2377
NGEE Arctic Barrow,US_NGB,71.28,-156.6092
Florida pine flatwoods,US_ONA,27.3836,-81.9509
Rosemount I18_South,US_Ro5,44.691,-93.0576
Twitchell Wetland West Pond,US_Tw1,38.1074,-121.6469
